POS,TEAM,SEQUENCE TIME,PASSES PER SEQUENCE,DIRECT SPEED,10+ PASS OP SEQUENCES,BUILD UP ATTACKS,DIRECT ATTACKS
1,GALATASARAY,9.32,3.38,2.06,343,97,75
2,FENERBAHÇE,8.94,3.38,2.08,333,88,71
3,TRABZONSPOR,9.83,3.51,1.75,358,79,50
4,ISTANBUL BASAKSEHIR,10.49,3.55,1.72,382,65,47
5,KASIMPASA,7.30,2.74,2.05,170,27,76
6,BESIKTAS,9.37,3.31,1.99,326,57,73
7,SIVASSPOR,8.34,2.89,2.09,203,30,84
8,ALANYASPOR,10.16,3.74,1.74,410,75,68
9,CAYKUR RIZESPOR,8.20,2.86,2.06,197,32,63
10,ANTALYASPOR,8.69,3.25,2.04,303,72,47
11,GAZIANTEP FK,7.37,2.71,2.03,188,29,57
12,ADANA DEMIRSPOR,9.01,3.11,1.89,236,44,74
13,SAMSUNSPOR,6.81,2.70,2.15,178,30,62
14,KAYSERISPOR,9.07,3.24,1.89,297,60,66
15,HATAYSPOR,8.73,3.12,1.86,276,51,53
16,KONYASPOR,8.08,3.06,1.99,267,43,51
17,ANKARAGÜCÜ,9.53,3.39,1.80,362,74,70
18,FATIH KARAGÜMRÜK,8.63,3.19,1.94,248,45,73
19,PENDIKSPOR,7.94,3.07,2.06,240,39,53
20,ISTANBULSPOR,8.21,3.02,1.86,202,40,51